Country,HappinessRank,HappinessScore,Economy,Generosity,Trust,Health,Freedom
Switzerland,1,7.587000000000001,1.3965100000000001,0.29678000000000004,0.41978000000000004,0.9414299999999999,0.66557
Iceland,2,7.561,1.3023200000000001,0.4363,0.14145,0.94784,0.6287699999999999
Denmark,3,7.527,1.32548,0.34139,0.48357,0.87464,0.6493800000000001
Norway,4,7.522,1.459,0.34699,0.36503,0.88521,0.66973
Canada,5,7.4270000000000005,1.32629,0.45811,0.32957,0.9056299999999999,0.63297
Finland,6,7.406000000000001,1.29025,0.23351,0.41372,0.8891100000000001,0.64169
Netherlands,7,7.377999999999999,1.32944,0.4761,0.31814000000000003,0.89284,0.6157600000000001
Sweden,8,7.364,1.33171,0.36262,0.43843999999999994,0.9108700000000001,0.6598
New Zealand,9,7.2860000000000005,1.2501799999999998,0.47501000000000004,0.42922,0.9083700000000001,0.6393800000000001
Australia,10,7.284,1.33358,0.43562,0.35636999999999996,0.93156,0.6512399999999999
Israel,11,7.278,1.2285700000000002,0.33171999999999996,0.07785,0.9138700000000001,0.41318999999999995
Costa Rica,12,7.226,0.95578,0.25497,0.10583,0.8602700000000001,0.63376
Austria,13,7.2,1.33723,0.33088,0.18675999999999998,0.8904200000000001,0.62433
Mexico,14,7.187,1.02054,0.14074,0.21311999999999998,0.8144399999999999,0.48181
United States,15,7.119,1.3945100000000001,0.40105,0.1589,0.86179,0.54604
Brazil,16,6.983,0.98124,0.14574,0.17521,0.69702,0.49049
Luxembourg,17,6.946000000000001,1.5639100000000001,0.28034000000000003,0.37798000000000004,0.91894,0.61583
Ireland,18,6.94,1.33596,0.45901000000000003,0.28703,0.89533,0.6177699999999999
Belgium,19,6.937,1.30782,0.2225,0.2254,0.8966700000000001,0.5845
United Arab Emirates,20,6.901,1.42727,0.26428,0.38583,0.80925,0.64157
United Kingdom,21,6.867000000000001,1.26637,0.51912,0.32066999999999996,0.90943,0.59625
Oman,22,6.853,1.36011,0.21541999999999997,0.32524000000000003,0.76276,0.63274
Venezuela,23,6.81,1.04424,0.058410000000000004,0.11069000000000001,0.7205199999999999,0.42908
Singapore,24,6.797999999999999,1.52186,0.31105,0.4921,1.02525,0.54252
Panama,25,6.7860000000000005,1.0635299999999999,0.24434,0.0927,0.79661,0.5421
Germany,26,6.75,1.32792,0.28214,0.21843,0.89186,0.6147699999999999
Chile,27,6.67,1.10715,0.33363000000000004,0.12869,0.85857,0.44132
Qatar,28,6.611000000000001,1.69042,0.32573,0.52208,0.79733,0.6404
France,29,6.575,1.27778,0.12332,0.20646,0.9457899999999999,0.55011
Argentina,30,6.574,1.05351,0.11450999999999999,0.08484,0.78723,0.44974
Czech Republic,31,6.505,1.17898,0.10686,0.02652,0.84483,0.46363999999999994
Uruguay,32,6.485,1.06166,0.2324,0.24558000000000002,0.8116,0.6036199999999999
Colombia,33,6.477,0.91861,0.18400999999999998,0.0512,0.69077,0.53466
Thailand,34,6.455,0.9669,0.5763,0.031869999999999996,0.7385,0.5566399999999999
Saudi Arabia,35,6.4110000000000005,1.39541,0.13706,0.32524000000000003,0.72025,0.31048000000000003
Spain,36,6.329,1.23011,0.18227000000000002,0.06398,0.95562,0.45951000000000003
Malta,37,6.3020000000000005,1.2074,0.51752,0.13585999999999998,0.88721,0.60365
Taiwan,38,6.297999999999999,1.29098,0.25376,0.08129,0.8753,0.3974
Kuwait,39,6.295,1.5542200000000002,0.16228,0.25609,0.72492,0.55499
Suriname,40,6.269,0.99534,0.16990999999999998,0.13633,0.6082,0.5965699999999999
Trinidad and Tobago,41,6.167999999999999,1.21183,0.31844,0.0114,0.61483,0.55884
El Salvador,42,6.13,0.76454,0.10692,0.11775999999999999,0.67737,0.4035
Guatemala,43,6.122999999999999,0.74553,0.27489,0.09472,0.64425,0.57733
Uzbekistan,44,6.002999999999999,0.63244,0.22837,0.30826,0.59772,0.6582100000000001
Slovakia,45,5.995,1.1689100000000001,0.16893,0.03431,0.7890199999999999,0.31751
Japan,46,5.987,1.27074,0.10705,0.1806,0.99111,0.49615
South Korea,47,5.984,1.24461,0.18557,0.07857,0.9653799999999999,0.33208000000000004
Ecuador,48,5.975,0.8640200000000001,0.11540999999999998,0.1809,0.79075,0.48573999999999995
Bahrain,49,5.96,1.32376,0.17362,0.306,0.74716,0.45492
Italy,50,5.9479999999999995,1.25114,0.22823000000000002,0.02901,0.9544600000000001,0.26236
Bolivia,51,5.89,0.68133,0.20536,0.08800000000000001,0.5392,0.57414
Moldova,52,5.888999999999999,0.59448,0.20951,0.01615,0.61826,0.32818
Paraguay,53,5.877999999999999,0.75985,0.3424,0.08242000000000001,0.66098,0.53899
Kazakhstan,54,5.855,1.1225399999999999,0.11827,0.08454,0.64368,0.51649
Slovenia,55,5.848,1.18498,0.25328,0.03787,0.8733700000000001,0.60855
Lithuania,56,5.832999999999999,1.14723,0.026410000000000003,0.01031,0.73128,0.21341999999999997
Nicaragua,57,5.827999999999999,0.59325,0.27815,0.19317,0.7431399999999999,0.55475
Peru,58,5.824,0.9001899999999999,0.14982,0.05989,0.73017,0.41496000000000005
Belarus,59,5.813,1.0319200000000002,0.11045999999999999,0.1909,0.7360800000000001,0.37938
Poland,60,5.791,1.12555,0.16759000000000002,0.04212,0.77903,0.53122
Malaysia,61,5.77,1.12486,0.33075,0.10500999999999999,0.7239399999999999,0.5302399999999999
Croatia,62,5.7589999999999995,1.08254,0.054439999999999995,0.0243,0.78805,0.25883
Libya,63,5.754,1.13145,0.18295,0.11023,0.7038,0.41668
Russia,64,5.716,1.13764,0.00199,0.03005,0.6692600000000001,0.36679
Jamaica,65,5.709,0.81038,0.2123,0.02299,0.6874100000000001,0.50442
North Cyprus,66,5.695,1.2080600000000001,0.26169000000000003,0.1428,0.92356,0.49027
Cyprus,67,5.689,1.20813,0.30638000000000004,0.06146,0.92356,0.40671999999999997
Algeria,68,5.605,0.93929,0.07822,0.17382999999999998,0.61766,0.28579
Kosovo,69,5.5889999999999995,0.80148,0.2831,0.04741,0.63132,0.24749000000000002
Turkmenistan,70,5.547999999999999,0.95847,0.16979,0.30844,0.53886,0.4761
Mauritius,71,5.477,1.0076100000000001,0.37744,0.07521,0.7095,0.56066
Hong Kong,72,5.474,1.38604,0.39478,0.37124,1.01328,0.59608
Estonia,73,5.428999999999999,1.15174,0.0868,0.15184,0.77361,0.44888
Indonesia,74,5.399,0.8282700000000001,0.51535,0.0,0.63793,0.46611
Vietnam,75,5.36,0.63216,0.1686,0.10440999999999999,0.7467600000000001,0.59444
Turkey,76,5.332000000000001,1.06098,0.12253,0.15746,0.73172,0.22815
Kyrgyzstan,77,5.2860000000000005,0.47428000000000003,0.3003,0.042319999999999997,0.65088,0.43477
Nigeria,78,5.268,0.65435,0.27233,0.0403,0.16007000000000002,0.34334000000000003
Bhutan,79,5.252999999999999,0.77042,0.47998,0.15445,0.57407,0.5320600000000001
Azerbaijan,80,5.212000000000001,1.02389,0.07799,0.16065,0.64045,0.3703
Pakistan,81,5.194,0.59543,0.33671,0.10464000000000001,0.51466,0.12102
Jordan,82,5.192,0.9019799999999999,0.11052999999999999,0.14293,0.69639,0.40660999999999997
Montenegro,82,5.192,0.9743799999999999,0.1614,0.14296,0.72521,0.1826
China,84,5.14,0.89012,0.08185,0.02781,0.81658,0.5169699999999999
Zambia,85,5.129,0.47038,0.19591,0.12468,0.29924,0.48827
Romania,86,5.124,1.04345,0.13748,0.006490000000000001,0.7689,0.35068
Serbia,87,5.122999999999999,0.92053,0.19230999999999998,0.02617,0.74836,0.20107
Portugal,88,5.102,1.15991,0.13719,0.01078,0.8751899999999999,0.51469
Latvia,89,5.098,1.11312,0.18225999999999998,0.06332,0.72437,0.29671
Philippines,90,5.073,0.70532,0.24991,0.12279000000000001,0.58114,0.62545
Somaliland region,91,5.0569999999999995,0.18847,0.5031800000000001,0.39928,0.43873,0.46581999999999996
Morocco,92,5.013,0.7347899999999999,0.07172,0.08546000000000001,0.60954,0.41691000000000006
Macedonia,93,5.007,0.91851,0.22359,0.053270000000000005,0.73545,0.33457
Mozambique,94,4.971,0.08308,0.22269,0.15603,0.09131,0.34037
Albania,95,4.959,0.8786700000000001,0.14272,0.06412999999999999,0.81325,0.35733000000000004
Bosnia and Herzegovina,96,4.949,0.8322299999999999,0.24808000000000002,0.00227,0.79081,0.09245
Lesotho,97,4.898,0.37545,0.16388,0.12504,0.07612000000000001,0.31767
Dominican Republic,98,4.885,0.8953700000000001,0.21684,0.14234000000000002,0.66825,0.57672
Laos,99,4.876,0.5906600000000001,0.42191999999999996,0.24249,0.54909,0.59591
Mongolia,100,4.874,0.82819,0.3323,0.026660000000000003,0.60268,0.43626000000000004
Swaziland,101,4.867,0.71206,0.18259,0.0306,0.07566,0.30658
Greece,102,4.857,1.15406,0.0,0.013969999999999998,0.88213,0.07699
Lebanon,103,4.8389999999999995,1.0256399999999999,0.21854,0.04582,0.83947,0.33916
Hungary,104,4.8,1.12094,0.128,0.02758,0.75905,0.32111999999999996
Honduras,105,4.788,0.59532,0.23026999999999997,0.06825,0.6951,0.40148
Tajikistan,106,4.7860000000000005,0.39047,0.22974,0.15072,0.5737899999999999,0.47216
Tunisia,107,4.739,0.88113,0.06431,0.06358,0.73793,0.26268
Palestinian Territories,108,4.715,0.59867,0.11250999999999999,0.12905,0.66015,0.24499
Bangladesh,109,4.694,0.39753,0.21222,0.12569,0.60164,0.4082
Iran,110,4.686,1.0088,0.38086,0.058629999999999995,0.69805,0.30033000000000004
Ukraine,111,4.681,0.79907,0.15275,0.02961,0.6739,0.25123
Iraq,112,4.677,0.98549,0.17922000000000002,0.13788,0.60237,0.0
South Africa,113,4.6419999999999995,0.9204899999999999,0.11972999999999999,0.08884,0.27688,0.33207
Ghana,114,4.633,0.5455800000000001,0.23087,0.04355,0.40131999999999995,0.42341999999999996
Zimbabwe,115,4.61,0.271,0.18987,0.08079,0.33475,0.25861
Liberia,116,4.571000000000001,0.0712,0.24361999999999998,0.06232000000000001,0.34201,0.28531
India,117,4.565,0.64499,0.26475,0.08492000000000001,0.5152899999999999,0.39786
Sudan,118,4.55,0.52107,0.19062,0.1466,0.36878,0.10081
Haiti,119,4.518,0.26673,0.46187,0.17175,0.38847,0.24425
Congo (Kinshasa),120,4.5169999999999995,0.0,0.24834,0.07625,0.09806000000000001,0.22605
Nepal,121,4.513999999999999,0.35996999999999996,0.32295999999999997,0.059070000000000004,0.5687399999999999,0.38282
Ethiopia,122,4.512,0.19072999999999998,0.24325,0.15048,0.44055,0.4345
Sierra Leone,123,4.507,0.33024000000000003,0.21488000000000002,0.08786000000000001,0.0,0.4084
Mauritania,124,4.436,0.45407,0.21899999999999997,0.17461,0.35874,0.24231999999999998
Kenya,125,4.419,0.36471,0.37542,0.05839,0.41435,0.42215
Djibouti,126,4.369,0.44025,0.18093,0.28105,0.36291,0.46074
Armenia,127,4.35,0.7682100000000001,0.07855,0.039,0.7299,0.19847
Botswana,128,4.332,0.99355,0.10461,0.12474,0.047760000000000004,0.49495
Myanmar,129,4.3069999999999995,0.27108000000000004,0.79588,0.19034,0.48246000000000006,0.44017
Georgia,130,4.297,0.7419,0.055470000000000005,0.38331,0.72926,0.40576999999999996
Malawi,131,4.292,0.016040000000000002,0.33128,0.06977,0.22562,0.43054
Sri Lanka,132,4.271,0.83524,0.40828000000000003,0.09179,0.70806,0.5372600000000001
Cameroon,133,4.252,0.4225,0.20618000000000003,0.05786,0.23401999999999998,0.49309
Bulgaria,134,4.218,1.01216,0.11921,0.00872,0.76649,0.30587
Egypt,135,4.194,0.8818,0.11291,0.06324,0.61712,0.17288
Yemen,136,4.077,0.5464899999999999,0.09131,0.07854,0.40064,0.35570999999999997
Angola,137,4.033,0.75778,0.12344000000000001,0.07122,0.16683,0.10384000000000002
Mali,138,3.995,0.26074,0.18798,0.12352,0.20583,0.38856999999999997
Congo (Brazzaville),139,3.989,0.67866,0.12387999999999999,0.11685999999999999,0.31051,0.41466000000000003
Comoros,140,3.9560000000000004,0.23906,0.17440999999999998,0.19899999999999998,0.36315,0.22916999999999998
Uganda,141,3.931,0.21101999999999999,0.29066,0.07267,0.33860999999999997,0.45726999999999995
Senegal,142,3.904,0.36498,0.20843000000000003,0.10712999999999999,0.4354,0.36772
Gabon,143,3.8960000000000004,1.06024,0.06822,0.11091,0.43372,0.31914000000000003
Niger,144,3.845,0.0694,0.19387000000000001,0.15639,0.29707,0.47691999999999996
Cambodia,145,3.819,0.46038,0.40359,0.07247,0.61114,0.66246
Tanzania,146,3.781,0.2852,0.34376999999999996,0.05747000000000001,0.38215,0.32878
Madagascar,147,3.681,0.20824,0.21333000000000002,0.08123999999999999,0.46721,0.19184
Central African Republic,148,3.678,0.0785,0.23835,0.08288999999999999,0.06699,0.48878999999999995
Chad,149,3.667,0.34193,0.18386,0.05269,0.1501,0.23501
Guinea,150,3.656,0.17417,0.28657,0.12139000000000001,0.24009,0.37725
Ivory Coast,151,3.655,0.46534,0.20165,0.17922000000000002,0.15185,0.46866
Burkina Faso,152,3.5869999999999997,0.25811999999999996,0.21746999999999997,0.12832000000000002,0.27125,0.39493
Afghanistan,153,3.575,0.31982,0.3651,0.09719,0.30335,0.23414000000000001
Rwanda,154,3.465,0.22208000000000003,0.22628,0.55191,0.42863999999999997,0.59201
Benin,155,3.34,0.28665,0.1826,0.0801,0.3191,0.4845
Syria,156,3.0060000000000002,0.6632,0.47179,0.18905999999999998,0.7219300000000001,0.15684
Burundi,157,2.905,0.0153,0.19727,0.10062,0.22396,0.1185
Togo,158,2.839,0.20868,0.16680999999999999,0.10730999999999999,0.28443,0.36453
